year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,28,35.71,-3.03,-7.08,-84.73,-72.46,-25.53,56.2
2023,1M_close_midhold,1M,close,21,24,45.83,1.34,-2.46,32.24,-42.65,-42.34,73.61
2023,3M_close_midhold,3M,close,32,4,50.0,22.35,5.33,89.39,52.62,-31.02,109.75
2024,15D_close_midhold,15D,close,5,31,25.81,-6.78,-8.37,-210.08,-89.86,-24.44,7.52
2024,1M_close_midhold,1M,close,21,24,16.67,-15.3,-17.96,-367.23,-98.79,-39.44,18.05
2024,1Y_close_midhold,1Y,close,126,11,27.27,-11.98,-15.33,-131.79,-82.2,-48.82,31.23
2024,3M_close_midhold,3M,close,32,30,46.67,2.16,-2.04,64.7,-20.33,-36.66,57.79
2024,6M_close_midhold,6M,close,63,30,33.33,-5.54,-15.57,-166.15,-97.45,-49.09,109.62
2025,15D_close_midhold,15D,close,5,44,40.91,-1.44,-5.44,-63.38,-68.56,-33.09,38.4
2025,1M_close_midhold,1M,close,21,42,52.38,12.21,1.23,513.0,1653.94,-33.56,159.4
2025,1Y_close_midhold,1Y,close,126,11,90.91,71.76,25.43,789.34,6063.12,-6.6,473.74
2025,3M_close_midhold,3M,close,32,41,56.1,5.09,2.06,208.77,76.12,-42.13,81.81
2025,6M_close_midhold,6M,close,63,36,41.67,9.93,-5.56,357.32,309.76,-33.04,161.6
2026,15D_close_midhold,15D,close,5,3,66.67,11.78,9.32,35.33,36.82,-2.96,28.97
2026,1M_close_midhold,1M,close,21,6,50.0,3.25,-1.67,19.5,3.52,-21.61,50.91
2026,3M_close_midhold,3M,close,32,1,100.0,0.26,0.26,0.26,0.26,0.26,0.26
