ipo_id,name,name_key,market,symbol,sector,stage,underwriters,subscription_start,subscription_end,listing_date,price_band_low,price_band_high,offer_price,retail_competition_ratio_live,institutional_competition_ratio,allocation_ratio_retail,allocation_ratio_proportional,lockup_commitment_ratio,employee_subscription_ratio,employee_forfeit_ratio,circulating_shares_on_listing,circulating_shares_ratio_on_listing,existing_shareholder_ratio,total_offer_shares,new_shares,selling_shares,secondary_sale_ratio,post_listing_total_shares,current_price,day_change_pct,ma20,ma60,rsi14,ir_url,dart_receipt_no,dart_viewer_url,dart_report_nm,dart_filing_date,kind_url,notes,unusual_move_flag,volume_spike_ratio,unlock_date_15d,unlock_date_1m,unlock_date_3m,unlock_date_6m,unlock_date_1y,source,source_detail,last_refresh_ts
38_마키나락스,마키나락스,마키나락스,,,,청약예정,"미래에셋증권,현대차증권",2026-05-11,2026-05-12,,12500.0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_코스모로보틱스,코스모로보틱스(구.엑소아틀레트아시아),코스모로보틱스,,,,청약예정,"유진투자증권,NH투자증권,유안타증권",2026-04-27,2026-04-28,,5300.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_채비,채비(구.대영채비),채비,,,,청약예정,"KB증권,삼성증권,대신증권,하나증권",2026-04-20,2026-04-21,,12300.0,15300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_신한스팩18호,신한스팩18호,신한스팩18호,,,,청약예정,신한투자증권,2026-04-20,2026-04-21,,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_키움히어로스팩2호,키움히어로스팩2호,키움히어로스팩2호,,,,청약예정,키움증권,2026-04-14,2026-04-15,,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_인벤테라,인벤테라,인벤테라,,,,청약완료,"NH투자증권,유진투자증권",2026-03-23,2026-03-24,,12100.0,16600.0,16600.0,1913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_교보스팩20호,교보스팩20호,교보스팩20호,,,,청약완료,교보증권,2026-03-23,2026-03-24,,2000.0,2000.0,2000.0,747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_리센스메디컬,리센스메디컬,리센스메디컬,,,,청약완료,"한국투자증권,KB증권",2026-03-19,2026-03-20,,9000.0,11000.0,11000.0,2097.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_신한스팩17호,신한스팩17호,신한스팩17호,,,,청약완료,신한투자증권,2026-03-19,2026-03-20,,2000.0,2000.0,2000.0,1403.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
38_nh스팩33호,NH스팩33호,nh스팩33호,,,,청약완료,NH투자증권,2026-03-17,2026-03-18,,2000.0,2000.0,2000.0,569.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ipo-schedule,2026-03-29
