date,open,high,low,close,volume
2026-02-26,10080,10085,10075,10082,100000
2026-02-27,10081,10086,10076,10083,100000
2026-03-02,10082,10087,10077,10084,100000
2026-03-03,10083,10088,10078,10085,100000
2026-03-04,10084,10089,10079,10086,100000
2026-03-05,10085,10090,10080,10087,100000
2026-03-06,10086,10091,10081,10088,100000
2026-03-09,10087,10092,10082,10089,100000
2026-03-10,10088,10093,10083,10090,100000
2026-03-11,10089,10094,10084,10091,100000
2026-03-12,10090,10095,10085,10092,100000
2026-03-13,10091,10096,10086,10093,100000
2026-03-16,10092,10097,10087,10094,100000
2026-03-17,10093,10098,10088,10095,100000
2026-03-18,10094,10099,10089,10096,100000
2026-03-19,10095,10100,10090,10097,100000
2026-03-20,10096,10101,10091,10098,100000
2026-03-23,10097,10102,10092,10099,100000
2026-03-24,10098,10103,10093,10100,100000
2026-03-25,10099,10104,10094,10101,100000
2026-03-26,10100,10105,10095,10102,100000
2026-03-27,10101,10106,10096,10103,100000
2026-03-30,10102,10107,10097,10104,100000
2026-03-31,10103,10108,10098,10105,100000
2026-04-01,10104,10109,10099,10106,100000
2026-04-02,10105,10110,10100,10107,100000
2026-04-03,10106,10111,10101,10108,100000
2026-04-06,10107,10112,10102,10109,100000
2026-04-07,10108,10113,10103,10110,100000
2026-04-08,10109,10114,10104,10111,100000
2026-04-09,10110,10115,10105,10112,100000
2026-04-10,10111,10116,10106,10113,100000
2026-04-13,10112,10117,10107,10114,100000
2026-04-14,10113,10118,10108,10115,100000
2026-04-15,10114,10119,10109,10116,100000
2026-04-16,10115,10120,10110,10117,100000
2026-04-17,10116,10121,10111,10118,100000
2026-04-20,10117,10122,10112,10119,100000
2026-04-21,10118,10123,10113,10120,100000
2026-04-22,10119,10124,10114,10121,100000
2026-04-23,10120,10125,10115,10122,100000
2026-04-24,10121,10126,10116,10123,100000
2026-04-27,10122,10127,10117,10124,100000
2026-04-28,10123,10128,10118,10125,100000
2026-04-29,10124,10129,10119,10126,100000
2026-04-30,10125,10130,10120,10127,100000
2026-05-01,10126,10131,10121,10128,100000
