ipo_id,name,name_key,market,symbol,sector,stage,underwriters,subscription_start,subscription_end,listing_date,price_band_low,price_band_high,offer_price,retail_competition_ratio_live,institutional_competition_ratio,allocation_ratio_retail,allocation_ratio_proportional,lockup_commitment_ratio,employee_subscription_ratio,employee_forfeit_ratio,circulating_shares_on_listing,circulating_shares_ratio_on_listing,existing_shareholder_ratio,total_offer_shares,new_shares,selling_shares,secondary_sale_ratio,post_listing_total_shares,current_price,day_change_pct,ma20,ma60,rsi14,forecast_date,ir_url,ir_title,ir_date,ir_pdf_url,ir_source_page,dart_receipt_no,dart_viewer_url,dart_report_nm,dart_filing_date,kind_url,notes,unusual_move_flag,volume_spike_ratio,unlock_date_15d,unlock_date_1m,unlock_date_3m,unlock_date_6m,unlock_date_1y,source,source_detail,last_refresh_ts
KIND_CORP_경방,경방,경방,유가증권,000050,종합 소매업,상장후,,,,1956-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_유수홀딩스,유수홀딩스,유수홀딩스,유가증권,000700,회사 본부 및 경영 컨설팅 서비스업,상장후,,,,1956-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_한진중공업홀딩스,한진중공업홀딩스,한진중공업홀딩스,유가증권,003480,연료용 가스 제조 및 배관공급업,상장후,,,,1956-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_cj대한통운,CJ대한통운,cj대한통운,유가증권,000120,도로 화물 운송업,상장후,,,,1956-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_유한양행,유한양행,유한양행,유가증권,000100,의약품 제조업,상장후,,,,1962-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_디아이동일,디아이동일,디아이동일,유가증권,001530,상품 중개업,상장후,,,,1964-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_대한항공,대한항공,대한항공,유가증권,003490,항공 여객 운송업,상장후,,,,1966-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_전방,전방,전방,유가증권,000950,방적 및 가공사 제조업,상장후,,,,1968-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_대한전선,대한전선,대한전선,유가증권,001440,절연선 및 케이블 제조업,상장후,,,,1968-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_대한제당,대한제당,대한제당,유가증권,001790,"곡물가공품, 전분 및 전분제품 제조업",상장후,,,,1968-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_삼양홀딩스,삼양홀딩스,삼양홀딩스,유가증권,000070,기타 금융업,상장후,,,,1968-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_세기상사,세기상사,세기상사,유가증권,002420,연료 소매업,상장후,,,,1968-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_한국앤컴퍼니,한국앤컴퍼니,한국앤컴퍼니,유가증권,000240,기타 금융업,상장후,,,,1968-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_세아제강지주,세아제강지주,세아제강지주,유가증권,003030,기타 금융업,상장후,,,,1969-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_엔피씨,엔피씨,엔피씨,유가증권,004250,플라스틱제품 제조업,상장후,,,,1969-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_한일홀딩스,한일홀딩스,한일홀딩스,유가증권,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업",상장후,,,,1969-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
