name,name_key,symbol,market,current_price,day_change_pct,quote_asof,quote_provider
디비금융스팩12호,db금융스팩12호,477760,,2055.0,,2026-07-15,NaverFinance
디비금융스팩13호,db금융스팩13호,489730,,2015.0,,2026-07-15,NaverFinance
디비금융스팩14호,db금융스팩14호,0004Y0,,2005.0,,2026-07-15,NaverFinance
DS단석,ds단석,017860,,11900.0,,2026-07-15,NaverFinance
E8,e8,418620,,678.0,,2026-07-15,NaverFinance
GS피앤엘,gs피앤엘,499790,,42000.0,,2026-07-15,NaverFinance
HB인베스트먼트,hb인베스트먼트,440290,,1677.0,,2026-07-15,NaverFinance
HD현대마린솔루션,hd현대마린솔루션,443060,,193500.0,,2026-07-15,NaverFinance
HEM파마,hem파마,376270,,40650.0,,2026-07-15,NaverFinance
HS효성,hs효성,487570,,42850.0,,2026-07-15,NaverFinance
IBKS스팩23호,ibks스팩23호,467930,,2105.0,,2026-07-15,NaverFinance
IBKS스팩24호,ibks스팩24호,469480,,2130.0,,2026-07-15,NaverFinance
IBKS스팩25호,ibks스팩25호,0099X0,,2180.0,,2026-07-15,NaverFinance
KB발해인프라,kb발해인프라,415640,,10530.0,,2026-07-15,NaverFinance
KB스타리츠(유가),kb스타리츠,432320,,1416.0,,2026-07-15,NaverFinance
KB스팩29호,kb스팩29호,478390,,2040.0,,2026-07-15,NaverFinance
KB스팩30호,kb스팩30호,486630,,2035.0,,2026-07-15,NaverFinance
KB스팩31호,kb스팩31호,492220,,2005.0,,2026-07-15,NaverFinance
KB스팩32호,kb스팩32호,0037T0,,1988.0,,2026-07-15,NaverFinance
KB스팩33호,kb스팩33호,0072Z0,,1988.0,,2026-07-15,NaverFinance
KT밀리의서재,kt밀리의서재,418470,,9640.0,,2026-07-15,NaverFinance
LG씨엔에스,lg씨엔에스,064400,,66000.0,,2026-07-15,NaverFinance
LG에너지솔루션(유가),lg에너지솔루션,373220,,322000.0,,2026-07-15,NaverFinance
LS머트리얼즈,ls머트리얼즈,417200,,11790.0,,2026-07-15,NaverFinance
LS스팩1호,ls스팩1호,006260,,292500.0,,2026-07-15,NaverFinance
M83,m83,476080,,3460.0,,2026-07-15,NaverFinance
NH스팩31호,nh스팩31호,481890,,2085.0,,2026-07-15,NaverFinance
NH스팩32호,nh스팩32호,0054V0,,2025.0,,2026-07-15,NaverFinance
NH스팩33호,nh스팩33호,0130H0,,1995.0,,2026-07-15,NaverFinance
NH올원리츠(유가),nh올원리츠,400760,,2960.0,,2026-07-15,NaverFinance
엔에이치프라임리츠(유가),nh프라임리츠,338100,,3765.0,,2026-07-15,NaverFinance
NICE평가정보,nice평가정보,030190,,13470.0,,2026-07-15,NaverFinance
RF시스템즈,rf시스템즈,474610,,5710.0,,2026-07-15,NaverFinance
SK리츠(유가),sk리츠,395400,,5610.0,,2026-07-15,NaverFinance
SK바이오사이언스(유가),sk바이오사이언스,302440,,35000.0,,2026-07-15,NaverFinance
SK아이이테크놀로지(유가),sk아이이테크놀로지,361610,,14140.0,,2026-07-15,NaverFinance
SK이터닉스,sk이터닉스,475150,,48800.0,,2026-07-15,NaverFinance
SK증권스팩11호,sk증권스팩11호,472230,,2075.0,,2026-07-15,NaverFinance
SK증권스팩12호,sk증권스팩12호,473000,,2050.0,,2026-07-15,NaverFinance
SK증권스팩13호,sk증권스팩13호,473950,,2035.0,,2026-07-15,NaverFinance
STX그린로지스,stx그린로지스,465770,,3300.0,,2026-07-15,NaverFinance
가온칩스,가온칩스,399720,,51800.0,,2026-07-15,NaverFinance
고바이오랩,고바이오랩,348150,,3040.0,,2026-07-15,NaverFinance
공구우먼,공구우먼,366030,,4895.0,,2026-07-15,NaverFinance
교보스팩15호,교보스팩15호,465320,,2335.0,,2026-07-15,NaverFinance
교보스팩16호,교보스팩16호,482520,,2025.0,,2026-07-15,NaverFinance
교보스팩17호,교보스팩17호,489210,,2030.0,,2026-07-15,NaverFinance
교보스팩18호,교보스팩18호,0041B0,,2030.0,,2026-07-15,NaverFinance
교보스팩19호,교보스팩19호,0098T0,,1998.0,,2026-07-15,NaverFinance
교보스팩20호,교보스팩20호,0132G0,,1992.0,,2026-07-15,NaverFinance
교촌에프앤비(유가),교촌에프앤비,339770,,3605.0,,2026-07-15,NaverFinance
그래피,그래피,318060,,18300.0,,2026-07-15,NaverFinance
그리드위즈,그리드위즈,453450,,14590.0,,2026-07-15,NaverFinance
그린리소스,그린리소스,402490,,7100.0,,2026-07-15,NaverFinance
그린모빌리티,그린모빌리티,480040,,17670.0,,2026-07-15,NaverFinance
그린플러스,그린플러스,186230,,3140.0,,2026-07-15,NaverFinance
금양그린파워,금양그린파워,282720,,6570.0,,2026-07-15,NaverFinance
기가비스,기가비스,420770,,156500.0,,2026-07-15,NaverFinance
꿈비,꿈비,407400,,2020.0,,2026-07-15,NaverFinance
나노씨엠에스,나노씨엠에스,247660,,3050.0,,2026-07-15,NaverFinance
나노팀,나노팀,417010,,4430.0,,2026-07-15,NaverFinance
나라셀라,나라셀라,405920,,1747.0,,2026-07-15,NaverFinance
나라스페이스테크놀로지,나라스페이스테크놀로지,478340,,10440.0,,2026-07-15,NaverFinance
나래나노텍,나래나노텍,137080,,4800.0,,2026-07-15,NaverFinance
나우로보틱스,나우로보틱스,459510,,11890.0,,2026-07-15,NaverFinance
남화산업,남화산업,111710,,3835.0,,2026-07-15,NaverFinance
네오이뮨텍,네오이뮨텍,950220,,1317.0,,2026-07-15,NaverFinance
네오크레마,네오크레마,311390,,2400.0,,2026-07-15,NaverFinance
네패스아크,네패스아크,330860,,37000.0,,2026-07-15,NaverFinance
넥스트바이오메디컬,넥스트바이오메디컬,389650,,35150.0,,2026-07-15,NaverFinance
넥스트칩,넥스트칩,396270,,2245.0,,2026-07-15,NaverFinance
넥스틴,넥스틴,348210,,36550.0,,2026-07-15,NaverFinance
넥스틸,넥스틸,092790,,10810.0,,2026-07-15,NaverFinance
노랑풍선,노랑풍선,104620,,3130.0,,2026-07-15,NaverFinance
노머스,노머스,473980,,10170.0,,2026-07-15,NaverFinance
노바렉스,노바렉스,194700,,13710.0,,2026-07-15,NaverFinance
노바텍,노바텍,285490,,11240.0,,2026-07-15,NaverFinance
노브랜드,노브랜드,145170,,2885.0,,2026-07-15,NaverFinance
노을,노을,376930,,677.0,,2026-07-15,NaverFinance
노타,노타,486990,,16820.0,,2026-07-15,NaverFinance
녹십자웰빙,녹십자웰빙,234690,,7990.0,,2026-07-15,NaverFinance
뉴로메카,뉴로메카,348340,,29500.0,,2026-07-15,NaverFinance
뉴로핏,뉴로핏,380550,,7930.0,,2026-07-15,NaverFinance
뉴엔AI,뉴엔ai,463020,,5790.0,,2026-07-15,NaverFinance
뉴키즈온,뉴키즈온,462310,,3315.0,,2026-07-15,NaverFinance
뉴트리,뉴트리,270870,,4635.0,,2026-07-15,NaverFinance
다원넥스뷰,다원넥스뷰,323350,,8830.0,,2026-07-15,NaverFinance
달바글로벌,달바글로벌,483650,,197900.0,,2026-07-15,NaverFinance
닷밀,닷밀,464580,,1560.0,,2026-07-15,NaverFinance
대명에너지,대명에너지,389260,,12920.0,,2026-07-15,NaverFinance
대모(구.대모엔지니어링),대모,317850,,5600.0,,2026-07-15,NaverFinance
대보마그네틱,대보마그네틱,290670,,5070.0,,2026-07-15,NaverFinance
