symbol,current_price,ma20,ma60,rsi14,signal,asof
000120,73700.0,74590.0,75441.66666666667,37.41007194244605,약세추세,2026-09-04
0004Y0,1998.0,1995.2,2000.95,58.97435897435897,중립,2026-09-04
0010F0,2215.0,2266.75,2369.1,41.30434782608696,약세추세,2026-09-04
0015N0,10080.0,9403.0,6785.583333333333,59.795134443021766,상승추세,2026-09-04
0015S0,6890.0,7107.0,7349.166666666667,39.90384615384615,약세추세,2026-09-04
0037T0,1999.0,1993.15,1994.4,56.14035087719298,중립,2026-09-04
0041B0,2015.0,2011.0,2022.3666666666666,50.0,중립,2026-09-04
0041J0,1983.0,1989.65,1992.5333333333333,48.333333333333336,중립,2026-09-04
0041L0,1995.0,1996.75,2003.7833333333333,43.33333333333333,약세추세,2026-09-04
0044K0,1986.0,1989.0,1991.3666666666666,48.64864864864865,중립,2026-09-04
0054V0,2010.0,2004.05,2012.9333333333334,55.68181818181818,중립,2026-09-04
0068Y0,1988.0,1985.45,1988.1666666666667,50.0,중립,2026-09-04
0071M0,1982.0,1984.6,1994.4833333333333,45.58823529411765,중립,2026-09-04
0072Z0,1990.0,1980.1,1985.0,59.61538461538462,중립,2026-09-04
0088D0,2080.0,2077.25,2110.8333333333335,50.0,중립,2026-09-04
0091W0,2020.0,2014.0,2014.1666666666667,60.0,중립,2026-09-04
0093G0,1983.0,1983.9,1987.4833333333333,41.53846153846154,약세추세,2026-09-04
0096B0,1986.0,1982.95,1987.4833333333333,44.11764705882352,중립,2026-09-04
0096D0,1982.0,1978.65,1988.4166666666667,61.11111111111111,중립,2026-09-04
0097F0,1988.0,1982.2,1991.1666666666667,52.38095238095238,중립,2026-09-04
0098T0,1994.0,1996.7,2004.3833333333334,49.056603773584904,중립,2026-09-04
0099W0,1983.0,1986.4,1992.8833333333334,50.0,중립,2026-09-04
0099X0,2180.0,2180.0,2171.4166666666665,,데이터부족,2026-09-04
0101C0,1982.0,1983.35,1990.65,50.925925925925924,중립,2026-09-04
0105P0,1991.0,1995.15,1997.7333333333333,50.0,중립,2026-09-04
0115H0,1995.0,1994.6,1993.3666666666666,50.94339622641509,상승추세,2026-09-04
012210,8490.0,7970.5,7437.0,57.8082191780822,상승추세,2026-09-04
014950,5720.0,5380.0,5655.166666666667,53.54430379746835,중립,2026-09-04
0156T0,8860.0,9606.0,,42.98440979955456,데이터부족,2026-09-04
