ipo_id,name,name_key,market,symbol,sector,stage,underwriters,subscription_start,subscription_end,listing_date,price_band_low,price_band_high,offer_price,retail_competition_ratio_live,institutional_competition_ratio,allocation_ratio_retail,allocation_ratio_proportional,lockup_commitment_ratio,employee_subscription_ratio,employee_forfeit_ratio,circulating_shares_on_listing,circulating_shares_ratio_on_listing,existing_shareholder_ratio,total_offer_shares,new_shares,selling_shares,secondary_sale_ratio,post_listing_total_shares,current_price,day_change_pct,ma20,ma60,rsi14,forecast_date,ir_url,ir_title,ir_date,ir_pdf_url,ir_source_page,dart_receipt_no,dart_viewer_url,dart_report_nm,dart_filing_date,kind_url,notes,unusual_move_flag,volume_spike_ratio,unlock_date_15d,unlock_date_1m,unlock_date_3m,unlock_date_6m,unlock_date_1y,source,source_detail,last_refresh_ts
38_result_키움히어로스팩2호,키움히어로스팩2호,키움히어로스팩2호,,,,미분류,키움증권,,,,2000.0,2000.0,2000.0,,1271.12,,,,,,,,,,,,,,,,,,,2026-04-09,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_교보스팩20호,교보스팩20호,교보스팩20호,,,,미분류,교보증권,,,,2000.0,2000.0,2000.0,,1196.99,,,,,,,,,,,,,,,,,,,2026-03-16,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_신한스팩17호,신한스팩17호,신한스팩17호,,,,미분류,신한투자증권,,,,2000.0,2000.0,2000.0,,1343.8,,,,,,,,,,,,,,,,,,,2026-03-13,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_nh스팩33호,NH스팩33호,nh스팩33호,,,,미분류,NH투자증권,,,,2000.0,2000.0,2000.0,,1228.71,,,,,,,,,,,,,,,,,,,2026-03-11,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_인벤테라,인벤테라,인벤테라,,,,미분류,"NH투자증권,유진투자증권",,,,12100.0,16600.0,16600.0,,1328.82,,,43.06,,,,,,,,,,,,,,,,2026-03-11,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_리센스메디컬,리센스메디컬,리센스메디컬,,,,미분류,"한국투자증권,KB증권",,,,9000.0,11000.0,11000.0,,1352.63,,,63.92,,,,,,,,,,,,,,,,2026-03-09,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_한패스,한패스,한패스,,,,미분류,"한국투자증권,대신증권",,,,17000.0,19000.0,19000.0,,1172.59,,,27.43,,,,,,,,,,,,,,,,2026-03-06,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_메쥬,메쥬,메쥬,,,,미분류,신한투자증권,,,,16700.0,21600.0,21600.0,,1108.93,,,75.4,,,,,,,,,,,,,,,,2026-03-05,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_아이엠바이오로직스,아이엠바이오로직스,아이엠바이오로직스,,,,미분류,"한국투자증권,신한투자증권",,,,19000.0,26000.0,26000.0,,839.23,,,76.01,,,,,,,,,,,,,,,,2026-02-27,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
38_result_카나프테라퓨틱스,카나프테라퓨틱스,카나프테라퓨틱스,,,,미분류,한국투자증권,,,,16000.0,20000.0,20000.0,,962.1,,,76.1,,,,,,,,,,,,,,,,2026-02-23,,,,,,,,,,,,,,,,,,,38,38-demand:https://www.38.co.kr/html/fund/?o=r1,2026-04-17
