name_key,release_date,market,name,release_shares,remaining_locked_shares,source,source_detail,last_refresh_ts
디에스엠,2026-03-16,코스닥,디에스엠,19877766.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
서울보증보험,2026-03-16,유가증권,서울보증보험,58546746.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
아크릴,2026-03-16,코스닥,아크릴,688267.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
퀀타매트릭스,2026-03-16,코스닥,퀀타매트릭스,400000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
팡스카이,2026-03-16,코넥스,팡스카이,1410000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
나라스페이스테크놀로지,2026-03-17,코스닥,나라스페이스테크놀로지,51600.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
알트,2026-03-17,코스닥,알트,639519.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
유안타스팩12호,2026-03-17,비상장,유안타제12호기업인수목적,270000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
더이앤엠,2026-03-18,코스닥,더이앤엠,2450000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
알지노믹스,2026-03-18,코스닥,알지노믹스,2649366.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
롯데에너지머티리얼즈,2026-03-19,유가증권,롯데에너지머티리얼즈,6254628.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
플럼라인생명과학,2026-03-19,코넥스,플럼라인생명과학,43832.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
넥스트아이,2026-03-20,코스닥,넥스트아이,7048000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
스피어코퍼레이션,2026-03-20,코스닥,스피어코퍼레이션,16460904.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
