strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,entry_dt,entry_price,exit_dt,exit_price,hold_days_after_entry,ipo_price,ipo_price_source,prev_close_vs_ipo,prev_close_date,entry_price_vs_ipo,gross_ret,net_ret
15D_close_midhold,15D,close,354320,알멕,2023-06-30,2023-07-15,2023-07-17,112000.0,2023-07-24,99800.0,5,50000.0,kind,2.434,2023-07-14,2.24,-0.10892857142857137,-0.11097772834074893
15D_close_midhold,15D,close,424960,스마트레이더시스템,2023-08-22,2023-09-06,2023-09-06,26000.0,2023-09-13,22200.0,5,8000.0,kind,3.2,2023-09-05,3.25,-0.1461538461538462,-0.14811739777494914
15D_close_midhold,15D,close,418250,시큐레터,2023-08-24,2023-09-08,2023-09-08,28550.0,2023-09-15,29550.0,5,12000.0,kind,2.5708333333333333,2023-09-07,2.379166666666667,0.035026269702276736,0.03264606631246991
15D_close_midhold,15D,close,451220,아이엠티,2023-10-10,2023-10-25,2023-10-25,23650.0,2023-11-01,20000.0,5,14000.0,kind,1.8142857142857143,2023-10-24,1.6892857142857143,-0.15433403805496826,-0.15627877805644164
15D_close_midhold,15D,close,396470,워트,2023-10-26,2023-11-10,2023-11-10,10470.0,2023-11-17,9500.0,5,6500.0,kind,1.66,2023-11-09,1.6107692307692307,-0.09264565425023874,-0.09473225625516257
15D_close_midhold,15D,close,372320,큐로셀,2023-11-09,2023-11-24,2023-11-24,31350.0,2023-12-01,26000.0,5,20000.0,kind,1.5875,2023-11-23,1.5675,-0.17065390749601272,-0.1725611174272822
15D_close_midhold,15D,close,365330,에스와이스틸텍,2023-11-13,2023-11-28,2023-11-28,2949.0,2023-12-05,2343.0,5,1800.0,kind,1.8077777777777777,2023-11-27,1.6383333333333334,-0.20549338758901325,-0.20732047873388681
15D_close_midhold,15D,close,445090,에이직랜드,2023-11-13,2023-11-28,2023-11-28,56000.0,2023-12-05,41800.0,5,25000.0,kind,2.176,2023-11-27,2.24,-0.25357142857142856,-0.2552879568064792
15D_close_midhold,15D,close,450080,에코프로머티,2023-11-17,2023-12-02,2023-12-04,137500.0,2023-12-11,140200.0,5,36200.0,kind,3.7679558011049723,2023-12-01,3.798342541436464,0.019636363636363674,0.017291551721787313
15D_close_midhold,15D,close,452280,한선엔지니어링,2023-11-24,2023-12-09,2023-12-11,10600.0,2023-12-18,9260.0,5,7000.0,kind,1.542857142857143,2023-12-08,1.5142857142857142,-0.1264150943396226,-0.1284240382810503
15D_close_midhold,15D,close,432470,케이엔에스,2023-12-06,2023-12-21,2023-12-21,39300.0,2024-01-02,30500.0,5,23000.0,kind,1.708695652173913,2023-12-20,1.708695652173913,-0.22391857506361323,-0.22570329463303163
15D_close_midhold,15D,close,417200,LS머트리얼즈,2023-12-12,2023-12-27,2023-12-27,42850.0,2024-01-05,49700.0,5,6000.0,kind,7.05,2023-12-26,7.141666666666667,0.15985997666277707,0.15719269880813092
15D_close_midhold,15D,close,457550,우진엔텍,2024-01-24,2024-02-08,2024-02-08,31750.0,2024-02-19,26900.0,5,5300.0,kind,6.584905660377358,2024-02-07,5.990566037735849,-0.15275590551181106,-0.1547042746737597
15D_close_midhold,15D,close,460930,현대힘스,2024-01-26,2024-02-10,2024-02-13,19990.0,2024-02-20,18360.0,5,7300.0,kind,2.73972602739726,2024-02-08,2.7383561643835614,-0.08154077038519258,-0.08365290979239559
15D_close_midhold,15D,close,452400,이닉스,2024-02-01,2024-02-16,2024-02-16,29050.0,2024-02-23,22000.0,5,14000.0,kind,2.2285714285714286,2024-02-15,2.075,-0.2426850258175559,-0.24442658902369463
15D_close_midhold,15D,close,068100,케이웨더,2024-02-22,2024-03-08,2024-03-08,9900.0,2024-03-15,9030.0,5,7000.0,kind,1.5,2024-03-07,1.4142857142857144,-0.08787878787878789,-0.0899763520320438
15D_close_midhold,15D,close,360350,코셈,2024-02-23,2024-03-09,2024-03-11,29200.0,2024-03-18,26300.0,5,16000.0,kind,1.975,2024-03-08,1.825,-0.09931506849315064,-0.1013863331459185
15D_close_midhold,15D,close,199430,케이엔알시스템,2024-03-07,2024-03-22,2024-03-22,24600.0,2024-03-29,26000.0,5,13500.0,kind,1.8666666666666667,2024-03-21,1.8222222222222222,0.05691056910569103,0.05448003937620749
15D_close_midhold,15D,close,455900,엔젤로보틱스,2024-03-26,2024-04-10,2024-04-11,50600.0,2024-04-18,51500.0,5,20000.0,kind,2.56,2024-04-09,2.53,0.01778656126482203,0.015446003257614027
15D_close_midhold,15D,close,461030,아이엠비디엑스,2024-04-03,2024-04-18,2024-04-18,19950.0,2024-04-25,18900.0,5,13000.0,kind,1.623076923076923,2024-04-17,1.5346153846153847,-0.052631578947368474,-0.05481019952270316
15D_close_midhold,15D,close,443060,HD현대마린솔루션,2024-05-08,2024-05-23,2024-05-23,149700.0,2024-05-30,130400.0,5,83400.0,kind,1.919664268585132,2024-05-22,1.7949640287769784,-0.12892451569806285,-0.1309276888359867
15D_close_midhold,15D,close,107640,한중엔시에스,2024-06-24,2024-07-09,2024-07-09,45900.0,2024-07-16,40100.0,5,30000.0,kind,1.5233333333333334,2024-07-08,1.53,-0.1263616557734205,-0.12837072260511684
15D_close_midhold,15D,close,160190,하이젠알앤엠,2024-06-27,2024-07-12,2024-07-12,10800.0,2024-07-19,9940.0,5,7000.0,kind,1.5214285714285714,2024-07-11,1.542857142857143,-0.0796296296296296,-0.08174616400132573
15D_close_midhold,15D,close,464280,티디에스팜,2024-08-21,2024-09-05,2024-09-05,33050.0,2024-09-12,32800.0,5,13000.0,kind,2.8153846153846156,2024-09-04,2.542307692307692,-0.0075642965204235635,-0.009846556299459852
