year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,6,50.0,-5.12,-4.68,-30.73,-31.44,-25.53,15.72
2023,1M_close_midhold,1M,close,21,3,33.33,-23.24,-28.78,-69.72,-58.36,-42.34,1.41
2024,15D_close_midhold,15D,close,5,5,20.0,-9.54,-8.37,-47.72,-41.16,-24.44,1.54
2024,1M_close_midhold,1M,close,21,5,40.0,-9.84,-10.26,-49.19,-48.31,-34.89,18.05
2024,1Y_close_midhold,1Y,close,126,3,0.0,-25.75,-24.54,-77.25,-62.88,-48.82,-3.89
2024,3M_close_midhold,3M,close,32,6,33.33,-3.07,-10.22,-18.42,-32.24,-36.66,38.35
2024,6M_close_midhold,6M,close,63,6,16.67,-21.79,-26.45,-130.74,-80.9,-41.77,6.85
2025,15D_close_midhold,15D,close,5,13,61.54,4.34,0.52,56.42,41.79,-24.78,38.4
2025,1M_close_midhold,1M,close,21,10,30.0,-7.87,-10.69,-78.69,-65.6,-33.56,26.91
2025,1Y_close_midhold,1Y,close,126,5,100.0,22.97,14.59,114.84,166.74,6.83,56.22
2025,3M_close_midhold,3M,close,32,7,42.86,11.5,-1.06,80.5,42.57,-42.13,67.92
2025,6M_close_midhold,6M,close,63,10,60.0,34.39,37.32,343.91,756.9,-31.07,161.6
2026,15D_close_midhold,15D,close,5,1,100.0,28.97,28.97,28.97,28.97,28.97,28.97
2026,1M_close_midhold,1M,close,21,1,0.0,-17.22,-17.22,-17.22,-17.22,-17.22,-17.22
