version,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
1.0,1Y_close_midhold,1Y,close,126,22,59.09,29.89,5.82,657.55,997.04,-48.82,473.74
1.0,3M_close_midhold,3M,close,32,76,52.63,4.78,0.71,363.12,114.7,-42.13,109.75
1.0,6M_close_midhold,6M,close,63,66,37.88,2.9,-8.54,191.18,-89.54,-49.09,161.6
1.0,1M_close_midhold,1M,close,21,96,41.67,2.06,-3.76,197.51,-87.38,-42.34,159.4
1.0,15D_close_midhold,15D,close,5,106,35.85,-3.05,-5.72,-322.86,-98.8,-33.09,56.2
1.2,1Y_close_midhold,1Y,close,126,21,57.14,29.83,4.8,626.33,736.0,-48.82,473.74
1.2,6M_close_midhold,6M,close,63,51,39.22,5.52,-6.14,281.68,-46.04,-49.09,161.6
1.2,3M_close_midhold,3M,close,32,54,50.0,3.16,0.12,170.46,-16.38,-42.13,81.81
1.2,15D_close_midhold,15D,close,5,82,37.8,-2.59,-5.72,-212.31,-95.71,-33.09,56.2
1.2,1M_close_midhold,1M,close,21,75,36.0,-4.04,-7.17,-303.05,-99.37,-42.34,73.61
1.5,1Y_close_midhold,1Y,close,126,14,64.29,14.24,7.87,199.42,148.01,-48.82,141.04
1.5,6M_close_midhold,6M,close,63,34,41.18,6.42,-6.67,218.23,-32.98,-49.09,161.6
1.5,3M_close_midhold,3M,close,32,35,51.43,5.94,0.59,207.82,98.6,-42.13,81.81
1.5,15D_close_midhold,15D,close,5,60,40.0,-3.33,-6.21,-199.53,-93.26,-33.09,38.4
1.5,1M_close_midhold,1M,close,21,47,38.3,-3.5,-4.43,-164.73,-95.72,-42.34,73.61
2.0,6M_close_midhold,6M,close,63,16,43.75,13.32,-4.15,213.18,63.64,-41.77,161.6
2.0,3M_close_midhold,3M,close,32,13,38.46,4.78,-1.16,62.08,-3.39,-42.13,67.92
2.0,1Y_close_midhold,1Y,close,126,8,62.5,4.7,7.28,37.59,-1.0,-48.82,56.22
2.0,15D_close_midhold,15D,close,5,25,52.0,0.28,0.17,6.95,-26.22,-25.53,38.4
2.0,1M_close_midhold,1M,close,21,19,31.58,-11.31,-12.47,-214.81,-93.87,-42.34,26.91
