year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,68,0.4117647058823529,-0.022104897455767342,-0.019880453868372616,-1.5031330269921792,-0.8958787618246913,-0.2552879568064792,0.5619613007676192
2023,1M_close_midhold,1M,close,21,63,0.4126984126984127,0.013342659277909097,-0.01853892821468428,0.8405875345082731,-0.6222433550165007,-0.4234355954741834,0.7361473521250832
2023,3M_close_midhold,3M,close,32,31,0.5161290322580645,0.03966378510710947,0.03570797713676277,1.2295773383203934,0.2912651396532824,-0.31897587375545555,1.0974716034989256
2024,15D_close_midhold,15D,close,5,96,0.3020833333333333,-0.042321091664652664,-0.060384623888291966,-4.062824799806656,-0.9932800901421595,-0.28187502643834195,0.5267330488661992
2024,1M_close_midhold,1M,close,21,100,0.31,-0.024954090360658397,-0.07763206085567415,-2.4954090360658396,-0.9924675056898391,-0.3944147992375837,0.8052842595302081
2024,1Y_close_midhold,1Y,close,126,69,0.4057971014492754,-0.016949383754810806,-0.038928513869772696,-1.1695074790819455,-0.9903806279719591,-0.6065583569058048,0.9942253115203736
2024,3M_close_midhold,3M,close,32,105,0.3904761904761905,0.0010708655499331188,-0.06258366380994518,0.11244088274297748,-0.9503071766645621,-0.36659855499287053,1.1070078471280151
2024,6M_close_midhold,6M,close,63,114,0.2982456140350877,-0.09103017387646434,-0.12994732270193032,-10.377439821916935,-0.9999998576184363,-0.5395229177161888,1.0961707324471877
2025,15D_close_midhold,15D,close,5,92,0.34782608695652173,-0.014280108918881323,-0.03898982341969698,-1.3137700205370817,-0.8807406945755704,-0.33094729954367685,0.40434598317361403
2025,1M_close_midhold,1M,close,21,90,0.4666666666666667,0.09550006427462392,-0.0022996550517422887,8.595005784716152,94.97519992279216,-0.33563271960818786,1.5940208968654703
2025,1Y_close_midhold,1Y,close,126,64,0.5625,0.25878985835964746,0.07290269630680268,16.562550935017438,738.0470107011754,-0.7447987538711298,4.737654725691439
2025,3M_close_midhold,3M,close,32,104,0.5480769230769231,0.13833095254803165,0.017647222237905824,14.386419064995291,257.09017532563473,-0.42127528378074675,7.44054491826226
2025,6M_close_midhold,6M,close,63,103,0.34951456310679613,0.024685665824632125,-0.06268189194339657,2.542623579937109,-0.7875197833936385,-0.37833261181035616,1.6160316458860282
2026,15D_close_midhold,15D,close,5,8,0.5,0.05348076801890721,0.020160423803727956,0.42784614415125766,0.45654367088513426,-0.05218467229915513,0.2896939792364479
2026,1M_close_midhold,1M,close,21,10,0.5,0.03624045811744057,-0.013711748938054491,0.36240458117440566,0.11060906600216702,-0.24902441271985853,0.5090565106041891
2026,3M_close_midhold,3M,close,32,3,0.6666666666666666,-0.0826534447844866,0.002559275199629063,-0.24796033435345977,-0.2609146936621024,-0.2925075160526871,0.04198790649959827
