year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,68,41.18,-2.21,-1.99,-150.31,-89.59,-25.53,56.2
2023,1M_close_midhold,1M,close,21,63,41.27,1.33,-1.85,84.06,-62.22,-42.34,73.61
2023,3M_close_midhold,3M,close,32,31,51.61,3.97,3.57,122.96,29.13,-31.9,109.75
2024,15D_close_midhold,15D,close,5,96,30.21,-4.23,-6.04,-406.28,-99.33,-28.19,52.67
2024,1M_close_midhold,1M,close,21,100,31.0,-2.5,-7.76,-249.54,-99.25,-39.44,80.53
2024,1Y_close_midhold,1Y,close,126,69,40.58,-1.69,-3.89,-116.95,-99.04,-60.66,99.42
2024,3M_close_midhold,3M,close,32,105,39.05,0.11,-6.26,11.24,-95.03,-36.66,110.7
2024,6M_close_midhold,6M,close,63,114,29.82,-9.1,-12.99,-1037.74,-100.0,-53.95,109.62
2025,15D_close_midhold,15D,close,5,92,34.78,-1.43,-3.9,-131.38,-88.07,-33.09,40.43
2025,1M_close_midhold,1M,close,21,90,46.67,9.55,-0.23,859.5,9497.52,-33.56,159.4
2025,1Y_close_midhold,1Y,close,126,64,56.25,25.88,7.29,1656.26,73804.7,-74.48,473.77
2025,3M_close_midhold,3M,close,32,104,54.81,13.83,1.76,1438.64,25709.02,-42.13,744.05
2025,6M_close_midhold,6M,close,63,103,34.95,2.47,-6.27,254.26,-78.75,-37.83,161.6
2026,15D_close_midhold,15D,close,5,8,50.0,5.35,2.02,42.78,45.65,-5.22,28.97
2026,1M_close_midhold,1M,close,21,10,50.0,3.62,-1.37,36.24,11.06,-24.9,50.91
2026,3M_close_midhold,3M,close,32,3,66.67,-8.27,0.26,-24.8,-26.09,-29.25,4.2
