strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,entry_idx,exit_idx,daily_rows,daily_min,daily_max,target_entry_date
15D_close_midhold,15D,close,476080,M83,2024-08-22,2024-09-06,daily_empty_window,20240817,20241016,,,,,,
15D_close_midhold,15D,close,000030,대신밸류리츠,2025-07-10,2025-07-25,daily_empty_symbol,20250705,20250903,,,,,,
15D_close_midhold,15D,close,000008,에스엔시스,2025-08-19,2025-09-03,daily_empty_symbol,20250814,20251013,,,,,,
15D_close_midhold,15D,close,000010,제이피아이헬스케어,2025-08-21,2025-09-05,daily_empty_symbol,20250816,20251015,,,,,,
15D_close_midhold,15D,close,000015,그린광학,2025-11-17,2025-12-02,daily_empty_symbol,20251112,20260111,,,,,,
15D_close_midhold,15D,close,000126,삼성에피스홀딩스,2025-11-24,2025-12-09,daily_empty_symbol,20251119,20260118,,,,,,
15D_close_midhold,15D,close,000015,아로마티카,2025-11-27,2025-12-12,daily_empty_symbol,20251122,20260121,,,,,,
15D_close_midhold,15D,close,000009,에임드바이오,2025-12-04,2025-12-19,daily_empty_symbol,20251129,20260128,,,,,,
15D_close_midhold,15D,close,000015,페스카로,2025-12-10,2025-12-25,daily_empty_symbol,20251205,20260203,,,,,,
15D_close_midhold,15D,close,217590,티엠씨,2025-12-15,2025-12-30,daily_empty_window,20251210,20260208,,,,,,
15D_close_midhold,15D,close,000007,아크릴,2025-12-16,2025-12-31,daily_empty_symbol,20251211,20260209,,,,,,
15D_close_midhold,15D,close,000013,삼진식품,2025-12-22,2026-01-06,daily_empty_symbol,20251217,20260215,,,,,,
15D_close_midhold,15D,close,000004,엔비알모션,2026-01-14,2026-01-29,daily_empty_symbol,20260109,20260310,,,,,,
15D_close_midhold,15D,close,000001,덕양에너젠,2026-01-30,2026-02-14,daily_empty_symbol,20260125,20260326,,,,,,
15D_close_midhold,15D,close,458350,에스팀,2026-03-06,2026-03-21,exit_out_of_range,20260301,20260430,11.0,16.0,16.0,,,
15D_close_midhold,15D,close,000011,액스비스,2026-03-09,2026-03-24,daily_empty_symbol,20260304,20260503,,,,,,
15D_close_midhold,15D,close,000082,카나프테라퓨틱스,2026-03-16,2026-03-31,daily_empty_symbol,20260311,20260510,,,,,,
15D_close_midhold,15D,close,493280,아이엠바이오로직스,2026-03-20,2026-04-04,entry_not_found,20260315,20260514,,,6.0,2026-03-20,2026-03-27,2026-04-04
15D_close_midhold,15D,close,408470,한패스,2026-03-25,2026-04-09,entry_not_found,20260320,20260519,,,3.0,2026-03-25,2026-03-27,2026-04-09
15D_close_midhold,15D,close,000088,메쥬,2026-03-26,2026-04-10,daily_empty_symbol,20260321,20260520,,,,,,
1M_close_midhold,1M,close,476080,M83,2024-08-22,2024-09-22,exit_out_of_range,20240902,20241203,0.0,21.0,13.0,,,
1M_close_midhold,1M,close,000030,대신밸류리츠,2025-07-10,2025-08-10,daily_empty_symbol,20250721,20251021,,,,,,
1M_close_midhold,1M,close,000008,에스엔시스,2025-08-19,2025-09-19,daily_empty_symbol,20250830,20251130,,,,,,
1M_close_midhold,1M,close,000010,제이피아이헬스케어,2025-08-21,2025-09-21,daily_empty_symbol,20250901,20251202,,,,,,
1M_close_midhold,1M,close,000015,그린광학,2025-11-17,2025-12-17,daily_empty_symbol,20251127,20260227,,,,,,
1M_close_midhold,1M,close,000126,삼성에피스홀딩스,2025-11-24,2025-12-24,daily_empty_symbol,20251204,20260306,,,,,,
1M_close_midhold,1M,close,000015,아로마티카,2025-11-27,2025-12-27,daily_empty_symbol,20251207,20260309,,,,,,
1M_close_midhold,1M,close,000009,에임드바이오,2025-12-04,2026-01-04,daily_empty_symbol,20251215,20260317,,,,,,
1M_close_midhold,1M,close,000015,페스카로,2025-12-10,2026-01-10,daily_empty_symbol,20251221,20260323,,,,,,
1M_close_midhold,1M,close,217590,티엠씨,2025-12-15,2026-01-15,exit_out_of_range,20251226,20260328,0.0,21.0,14.0,,,
1M_close_midhold,1M,close,000007,아크릴,2025-12-16,2026-01-16,daily_empty_symbol,20251227,20260329,,,,,,
1M_close_midhold,1M,close,000013,삼진식품,2025-12-22,2026-01-22,daily_empty_symbol,20260102,20260404,,,,,,
1M_close_midhold,1M,close,000004,엔비알모션,2026-01-14,2026-02-14,daily_empty_symbol,20260125,20260427,,,,,,
1M_close_midhold,1M,close,000001,덕양에너젠,2026-01-30,2026-02-28,daily_empty_symbol,20260208,20260511,,,,,,
1M_close_midhold,1M,close,279570,케이뱅크,2026-03-05,2026-04-05,entry_not_found,20260316,20260616,,,10.0,2026-03-16,2026-03-27,2026-04-05
1M_close_midhold,1M,close,458350,에스팀,2026-03-06,2026-04-06,entry_not_found,20260317,20260617,,,9.0,2026-03-17,2026-03-27,2026-04-06
1M_close_midhold,1M,close,000011,액스비스,2026-03-09,2026-04-09,daily_empty_symbol,20260320,20260620,,,,,,
1M_close_midhold,1M,close,000082,카나프테라퓨틱스,2026-03-16,2026-04-16,daily_empty_symbol,20260327,20260627,,,,,,
1M_close_midhold,1M,close,493280,아이엠바이오로직스,2026-03-20,2026-04-20,daily_empty_window,20260331,20260701,,,,,,
1M_close_midhold,1M,close,408470,한패스,2026-03-25,2026-04-25,daily_empty_window,20260405,20260706,,,,,,
1M_close_midhold,1M,close,000088,메쥬,2026-03-26,2026-04-26,daily_empty_symbol,20260406,20260707,,,,,,
3M_close_midhold,3M,close,278470,에이피알,2024-02-27,2024-05-27,exit_out_of_range,20240507,20240829,10.0,42.0,18.0,,,
3M_close_midhold,3M,close,412540,제일엠앤에스,2024-04-30,2024-07-30,exit_out_of_range,20240710,20241101,10.0,42.0,19.0,,,
3M_close_midhold,3M,close,000030,대신밸류리츠,2025-07-10,2025-10-10,daily_empty_symbol,20250920,20260112,,,,,,
3M_close_midhold,3M,close,000008,에스엔시스,2025-08-19,2025-11-19,daily_empty_symbol,20251030,20260221,,,,,,
3M_close_midhold,3M,close,000010,제이피아이헬스케어,2025-08-21,2025-11-21,daily_empty_symbol,20251101,20260223,,,,,,
3M_close_midhold,3M,close,469610,이노테크,2025-11-07,2026-02-07,exit_out_of_range,20260118,20260512,15.0,47.0,46.0,,,
3M_close_midhold,3M,close,494120,큐리오시스,2025-11-13,2026-02-13,exit_out_of_range,20260124,20260518,14.0,46.0,41.0,,,
3M_close_midhold,3M,close,061090,세나테크놀로지,2025-11-14,2026-02-14,exit_out_of_range,20260125,20260519,15.0,47.0,41.0,,,
3M_close_midhold,3M,close,000015,그린광학,2025-11-17,2026-02-17,daily_empty_symbol,20260128,20260522,,,,,,
3M_close_midhold,3M,close,459550,알트,2025-11-17,2026-02-17,exit_out_of_range,20260128,20260522,9.0,41.0,10.0,,,
3M_close_midhold,3M,close,403850,더핑크퐁컴퍼니,2025-11-18,2026-02-18,exit_out_of_range,20260129,20260523,12.0,44.0,38.0,,,
3M_close_midhold,3M,close,403810,아이엘로보틱스,2025-11-18,2026-02-18,exit_out_of_range,20260129,20260523,12.0,44.0,38.0,,,
3M_close_midhold,3M,close,388210,씨엠티엑스,2025-11-20,2026-02-20,exit_out_of_range,20260131,20260525,11.0,43.0,36.0,,,
3M_close_midhold,3M,close,488900,비츠로넥스텍,2025-11-21,2026-02-21,exit_out_of_range,20260201,20260526,12.0,44.0,36.0,,,
3M_close_midhold,3M,close,000126,삼성에피스홀딩스,2025-11-24,2026-02-24,daily_empty_symbol,20260204,20260529,,,,,,
3M_close_midhold,3M,close,000120,삼양바이오팜,2025-11-24,2026-02-24,exit_out_of_range,20260204,20260529,11.0,43.0,34.0,,,
3M_close_midhold,3M,close,000015,아로마티카,2025-11-27,2026-02-27,daily_empty_symbol,20260207,20260601,,,,,,
3M_close_midhold,3M,close,000009,에임드바이오,2025-12-04,2026-03-04,daily_empty_symbol,20260212,20260606,,,,,,
3M_close_midhold,3M,close,950250,테라뷰,2025-12-09,2026-03-09,exit_out_of_range,20260217,20260611,11.0,43.0,26.0,,,
3M_close_midhold,3M,close,000015,페스카로,2025-12-10,2026-03-10,daily_empty_symbol,20260218,20260612,,,,,,
3M_close_midhold,3M,close,261520,이지스,2025-12-11,2026-03-11,exit_out_of_range,20260219,20260613,13.0,45.0,26.0,,,
3M_close_midhold,3M,close,464490,쿼드메디슨,2025-12-12,2026-03-12,exit_out_of_range,20260220,20260614,13.0,45.0,25.0,,,
3M_close_midhold,3M,close,217590,티엠씨,2025-12-15,2026-03-15,exit_out_of_range,20260223,20260617,4.0,36.0,14.0,,,
3M_close_midhold,3M,close,000007,아크릴,2025-12-16,2026-03-16,daily_empty_symbol,20260224,20260618,,,,,,
3M_close_midhold,3M,close,478340,나라스페이스테크놀로지,2025-12-17,2026-03-17,exit_out_of_range,20260225,20260619,13.0,45.0,22.0,,,
3M_close_midhold,3M,close,476830,알지노믹스,2025-12-18,2026-03-18,exit_out_of_range,20260226,20260620,13.0,45.0,21.0,,,
3M_close_midhold,3M,close,000013,삼진식품,2025-12-22,2026-03-22,daily_empty_symbol,20260302,20260624,,,,,,
