name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares,ipo_price_source
아이티센피엔에스,아이티센피엔에스,232830,2023-06-29,,코스닥,nan,,
알멕,알멕,354320,2023-06-30,50000.0,코스닥,엔에이치투자증권(주),,38
오픈놀,오픈놀,440320,2023-06-30,10000.0,코스닥,하나증권주식회사,,38
이노시뮬레이션,이노시뮬레이션,274400,2023-07-06,15000.0,코스닥,하나증권주식회사,,38
필에너지,필에너지,378340,2023-07-14,34000.0,코스닥,미래에셋증권 주식회사,,38
센서뷰,센서뷰,321370,2023-07-19,4500.0,코스닥,삼성증권(주),,38
아이엠지티,아이엠지티,456570,2023-07-19,,코넥스,미래에셋증권(주),,
와이랩,와이랩,432430,2023-07-20,9000.0,코스닥,한국투자증권(주),,38
뷰티스킨,뷰티스킨,406820,2023-07-24,26000.0,코스닥,DB증권주식회사,,38
버넥트,버넥트,438700,2023-07-26,16000.0,코스닥,대신증권(주),,38
에이엘티,에이엘티,172670,2023-07-27,25000.0,코스닥,미래에셋증권 주식회사,,38
파로스아이바이오,파로스아이바이오,388870,2023-07-27,14000.0,코스닥,한국투자증권(주),,38
조선내화,조선내화,462520,2023-07-28,,유가,대신증권(주),,
에피바이오텍,에피바이오텍,446440,2023-07-31,,코넥스,한국투자증권(주),,
시지트로닉스,시지트로닉스,429270,2023-08-03,25000.0,코스닥,유안타증권(주),,38
엠아이큐브솔루션,엠아이큐브솔루션,373170,2023-08-04,12000.0,코스닥,한국투자증권(주),,38
파두,파두,440110,2023-08-07,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
NICE평가정보,nice평가정보,030190,2023-08-08,0.0,유가,대신증권(주),,kind
코츠테크놀로지,코츠테크놀로지,448710,2023-08-10,13000.0,코스닥,한국투자증권(주),,38
큐리옥스바이오시스템즈,큐리옥스바이오시스템즈,445680,2023-08-10,13000.0,코스닥,키움증권(주),,38
캔버스엔,캔버스엔,210120,2023-08-17,,코스닥,nan,,
넥스틸,넥스틸,092790,2023-08-21,11500.0,유가,하나증권주식회사,,38
스마트레이더시스템,스마트레이더시스템,424960,2023-08-22,8000.0,코스닥,대신증권(주),,38
시큐레터,시큐레터,418250,2023-08-24,12000.0,코스닥,대신증권(주),,38
크라우드웍스,크라우드웍스,355390,2023-08-31,,코스닥,nan,,
율촌,율촌,146060,2023-09-08,,코스닥,nan,,
STX그린로지스,stx그린로지스,465770,2023-09-15,,유가,신한투자증권 주식회사,,
코어라인소프트,코어라인소프트,384470,2023-09-18,,코스닥,nan,,
우듬지팜,우듬지팜,403490,2023-09-19,,코스닥,nan,,
인스웨이브,인스웨이브,450520,2023-09-25,,코스닥,nan,,
KT밀리의서재,kt밀리의서재,418470,2023-09-27,,코스닥,nan,,
한싹,한싹,430690,2023-10-04,12500.0,코스닥,KB증권(주),,38
두산로보틱스,두산로보틱스,454910,2023-10-05,26000.0,유가,"한국투자증권(주),CS증권 서울지점,KB증권(주),엔에이치투자증권(주),미래에셋증권 주식회사",,38
레뷰코퍼레이션,레뷰코퍼레이션,443250,2023-10-06,15000.0,코스닥,삼성증권(주),,38
아이엠티,아이엠티,451220,2023-10-10,14000.0,코스닥,유안타증권(주),,38
바이오텐,바이오텐,289170,2023-10-13,,코넥스,아이비케이투자증권(주),,
퓨릿,퓨릿,445180,2023-10-18,10700.0,코스닥,미래에셋증권 주식회사,,38
신성에스티,신성에스티,416180,2023-10-19,26000.0,코스닥,미래에셋증권 주식회사,,38
에스엘에스바이오,에스엘에스바이오,246250,2023-10-20,7000.0,코스닥,하나증권주식회사,,38
미쥬,미쥬,351020,2023-10-26,,코넥스,아이비케이투자증권(주),,
워트,워트,396470,2023-10-26,6500.0,코스닥,키움증권(주),,38
퀄리타스반도체,퀄리타스반도체,432720,2023-10-27,17000.0,코스닥,한국투자증권(주),,38
유진테크놀로지,유진테크놀로지,240600,2023-11-02,17000.0,코스닥,엔에이치투자증권(주),,38
