symbol,name,error
456570,아이엠지티,DART API error 013: 조회된 데이타가 없습니다.
462520,조선내화,DART API error 013: 조회된 데이타가 없습니다.
446440,에피바이오텍,DART API error 013: 조회된 데이타가 없습니다.
030190,NICE평가정보,DART API error 013: 조회된 데이타가 없습니다.
465770,STX그린로지스,DART API error 013: 조회된 데이타가 없습니다.
289170,바이오텐,DART API error 013: 조회된 데이타가 없습니다.
351020,미쥬,DART API error 013: 조회된 데이타가 없습니다.
296160,프로젠,DART API error 013: 조회된 데이타가 없습니다.
022100,포스코DX,DART API error 013: 조회된 데이타가 없습니다.
267080,세븐브로이맥주,DART API error 013: 조회된 데이타가 없습니다.
066970,엘앤에프,DART API error 013: 조회된 데이타가 없습니다.
472850,폰드그룹,DART API error 013: 조회된 데이타가 없습니다.
475150,SK이터닉스,DART API error 013: 조회된 데이타가 없습니다.
034230,파라다이스,DART API error 013: 조회된 데이타가 없습니다.
266350,팡스카이,DART API error 013: 조회된 데이타가 없습니다.
481850,신한글로벌액티브리츠,DART API error 013: 조회된 데이타가 없습니다.
487570,HS효성,DART API error 013: 조회된 데이타가 없습니다.
489790,한화비전,DART API error 013: 조회된 데이타가 없습니다.
476710,타조이엔터테인먼트,DART API error 013: 조회된 데이타가 없습니다.
415640,KB발해인프라,DART API error 013: 조회된 데이타가 없습니다.
499790,GS피앤엘,DART API error 013: 조회된 데이타가 없습니다.
495810,유비씨,DART API error 013: 조회된 데이타가 없습니다.
368030,창대정밀,DART API error 013: 조회된 데이타가 없습니다.
332190,오션스바이오,DART API error 013: 조회된 데이타가 없습니다.
496320,본시스템즈,DART API error 013: 조회된 데이타가 없습니다.
403810,아이엘로보틱스,DART API error 013: 조회된 데이타가 없습니다.
000126,삼성에피스홀딩스,DART API error 013: 조회된 데이타가 없습니다.
000013,삼진식품,DART API error 013: 조회된 데이타가 없습니다.
059180,엔더블유시,DART API error 013: 조회된 데이타가 없습니다.
