symbol,name,name_key,listing_date,unlock_date,term,ipo_price,market,lead_manager,listed_shares,ipo_price_source
232830,아이티센피엔에스,아이티센피엔에스,2023-06-29,2023-07-14,15D,,코스닥,nan,,
232830,아이티센피엔에스,아이티센피엔에스,2023-06-29,2023-07-29,1M,,코스닥,nan,,
232830,아이티센피엔에스,아이티센피엔에스,2023-06-29,2023-09-29,3M,,코스닥,nan,,
232830,아이티센피엔에스,아이티센피엔에스,2023-06-29,2023-12-29,6M,,코스닥,nan,,
232830,아이티센피엔에스,아이티센피엔에스,2023-06-29,2024-06-29,1Y,,코스닥,nan,,
354320,알멕,알멕,2023-06-30,2023-07-15,15D,50000.0,코스닥,엔에이치투자증권(주),,38
354320,알멕,알멕,2023-06-30,2023-07-30,1M,50000.0,코스닥,엔에이치투자증권(주),,38
354320,알멕,알멕,2023-06-30,2023-09-30,3M,50000.0,코스닥,엔에이치투자증권(주),,38
354320,알멕,알멕,2023-06-30,2023-12-30,6M,50000.0,코스닥,엔에이치투자증권(주),,38
354320,알멕,알멕,2023-06-30,2024-06-30,1Y,50000.0,코스닥,엔에이치투자증권(주),,38
440320,오픈놀,오픈놀,2023-06-30,2023-07-15,15D,10000.0,코스닥,하나증권주식회사,,38
440320,오픈놀,오픈놀,2023-06-30,2023-07-30,1M,10000.0,코스닥,하나증권주식회사,,38
440320,오픈놀,오픈놀,2023-06-30,2023-09-30,3M,10000.0,코스닥,하나증권주식회사,,38
440320,오픈놀,오픈놀,2023-06-30,2023-12-30,6M,10000.0,코스닥,하나증권주식회사,,38
440320,오픈놀,오픈놀,2023-06-30,2024-06-30,1Y,10000.0,코스닥,하나증권주식회사,,38
274400,이노시뮬레이션,이노시뮬레이션,2023-07-06,2023-07-21,15D,15000.0,코스닥,하나증권주식회사,,38
274400,이노시뮬레이션,이노시뮬레이션,2023-07-06,2023-08-06,1M,15000.0,코스닥,하나증권주식회사,,38
274400,이노시뮬레이션,이노시뮬레이션,2023-07-06,2023-10-06,3M,15000.0,코스닥,하나증권주식회사,,38
274400,이노시뮬레이션,이노시뮬레이션,2023-07-06,2024-01-06,6M,15000.0,코스닥,하나증권주식회사,,38
274400,이노시뮬레이션,이노시뮬레이션,2023-07-06,2024-07-06,1Y,15000.0,코스닥,하나증권주식회사,,38
378340,필에너지,필에너지,2023-07-14,2023-07-29,15D,34000.0,코스닥,미래에셋증권 주식회사,,38
378340,필에너지,필에너지,2023-07-14,2023-08-14,1M,34000.0,코스닥,미래에셋증권 주식회사,,38
378340,필에너지,필에너지,2023-07-14,2023-10-14,3M,34000.0,코스닥,미래에셋증권 주식회사,,38
378340,필에너지,필에너지,2023-07-14,2024-01-14,6M,34000.0,코스닥,미래에셋증권 주식회사,,38
378340,필에너지,필에너지,2023-07-14,2024-07-14,1Y,34000.0,코스닥,미래에셋증권 주식회사,,38
321370,센서뷰,센서뷰,2023-07-19,2023-08-03,15D,4500.0,코스닥,삼성증권(주),,38
321370,센서뷰,센서뷰,2023-07-19,2023-08-19,1M,4500.0,코스닥,삼성증권(주),,38
321370,센서뷰,센서뷰,2023-07-19,2023-10-19,3M,4500.0,코스닥,삼성증권(주),,38
321370,센서뷰,센서뷰,2023-07-19,2024-01-19,6M,4500.0,코스닥,삼성증권(주),,38
321370,센서뷰,센서뷰,2023-07-19,2024-07-19,1Y,4500.0,코스닥,삼성증권(주),,38
456570,아이엠지티,아이엠지티,2023-07-19,2023-08-03,15D,,코넥스,미래에셋증권(주),,
456570,아이엠지티,아이엠지티,2023-07-19,2023-08-19,1M,,코넥스,미래에셋증권(주),,
456570,아이엠지티,아이엠지티,2023-07-19,2023-10-19,3M,,코넥스,미래에셋증권(주),,
456570,아이엠지티,아이엠지티,2023-07-19,2024-01-19,6M,,코넥스,미래에셋증권(주),,
456570,아이엠지티,아이엠지티,2023-07-19,2024-07-19,1Y,,코넥스,미래에셋증권(주),,
432430,와이랩,와이랩,2023-07-20,2023-08-04,15D,9000.0,코스닥,한국투자증권(주),,38
432430,와이랩,와이랩,2023-07-20,2023-08-20,1M,9000.0,코스닥,한국투자증권(주),,38
432430,와이랩,와이랩,2023-07-20,2023-10-20,3M,9000.0,코스닥,한국투자증권(주),,38
432430,와이랩,와이랩,2023-07-20,2024-01-20,6M,9000.0,코스닥,한국투자증권(주),,38
432430,와이랩,와이랩,2023-07-20,2024-07-20,1Y,9000.0,코스닥,한국투자증권(주),,38
406820,뷰티스킨,뷰티스킨,2023-07-24,2023-08-08,15D,26000.0,코스닥,DB증권주식회사,,38
406820,뷰티스킨,뷰티스킨,2023-07-24,2023-08-24,1M,26000.0,코스닥,DB증권주식회사,,38
406820,뷰티스킨,뷰티스킨,2023-07-24,2023-10-24,3M,26000.0,코스닥,DB증권주식회사,,38
406820,뷰티스킨,뷰티스킨,2023-07-24,2024-01-24,6M,26000.0,코스닥,DB증권주식회사,,38
406820,뷰티스킨,뷰티스킨,2023-07-24,2024-07-24,1Y,26000.0,코스닥,DB증권주식회사,,38
438700,버넥트,버넥트,2023-07-26,2023-08-10,15D,16000.0,코스닥,대신증권(주),,38
438700,버넥트,버넥트,2023-07-26,2023-08-26,1M,16000.0,코스닥,대신증권(주),,38
438700,버넥트,버넥트,2023-07-26,2023-10-26,3M,16000.0,코스닥,대신증권(주),,38
438700,버넥트,버넥트,2023-07-26,2024-01-26,6M,16000.0,코스닥,대신증권(주),,38
438700,버넥트,버넥트,2023-07-26,2024-07-26,1Y,16000.0,코스닥,대신증권(주),,38
172670,에이엘티,에이엘티,2023-07-27,2023-08-11,15D,25000.0,코스닥,미래에셋증권 주식회사,,38
172670,에이엘티,에이엘티,2023-07-27,2023-08-27,1M,25000.0,코스닥,미래에셋증권 주식회사,,38
172670,에이엘티,에이엘티,2023-07-27,2023-10-27,3M,25000.0,코스닥,미래에셋증권 주식회사,,38
172670,에이엘티,에이엘티,2023-07-27,2024-01-27,6M,25000.0,코스닥,미래에셋증권 주식회사,,38
172670,에이엘티,에이엘티,2023-07-27,2024-07-27,1Y,25000.0,코스닥,미래에셋증권 주식회사,,38
388870,파로스아이바이오,파로스아이바이오,2023-07-27,2023-08-11,15D,14000.0,코스닥,한국투자증권(주),,38
388870,파로스아이바이오,파로스아이바이오,2023-07-27,2023-08-27,1M,14000.0,코스닥,한국투자증권(주),,38
388870,파로스아이바이오,파로스아이바이오,2023-07-27,2023-10-27,3M,14000.0,코스닥,한국투자증권(주),,38
388870,파로스아이바이오,파로스아이바이오,2023-07-27,2024-01-27,6M,14000.0,코스닥,한국투자증권(주),,38
388870,파로스아이바이오,파로스아이바이오,2023-07-27,2024-07-27,1Y,14000.0,코스닥,한국투자증권(주),,38
462520,조선내화,조선내화,2023-07-28,2023-08-12,15D,,유가,대신증권(주),,
462520,조선내화,조선내화,2023-07-28,2023-08-28,1M,,유가,대신증권(주),,
462520,조선내화,조선내화,2023-07-28,2023-10-28,3M,,유가,대신증권(주),,
462520,조선내화,조선내화,2023-07-28,2024-01-28,6M,,유가,대신증권(주),,
462520,조선내화,조선내화,2023-07-28,2024-07-28,1Y,,유가,대신증권(주),,
446440,에피바이오텍,에피바이오텍,2023-07-31,2023-08-15,15D,,코넥스,한국투자증권(주),,
446440,에피바이오텍,에피바이오텍,2023-07-31,2023-08-31,1M,,코넥스,한국투자증권(주),,
446440,에피바이오텍,에피바이오텍,2023-07-31,2023-10-31,3M,,코넥스,한국투자증권(주),,
446440,에피바이오텍,에피바이오텍,2023-07-31,2024-01-31,6M,,코넥스,한국투자증권(주),,
446440,에피바이오텍,에피바이오텍,2023-07-31,2024-07-31,1Y,,코넥스,한국투자증권(주),,
429270,시지트로닉스,시지트로닉스,2023-08-03,2023-08-18,15D,25000.0,코스닥,유안타증권(주),,38
429270,시지트로닉스,시지트로닉스,2023-08-03,2023-09-03,1M,25000.0,코스닥,유안타증권(주),,38
429270,시지트로닉스,시지트로닉스,2023-08-03,2023-11-03,3M,25000.0,코스닥,유안타증권(주),,38
429270,시지트로닉스,시지트로닉스,2023-08-03,2024-02-03,6M,25000.0,코스닥,유안타증권(주),,38
429270,시지트로닉스,시지트로닉스,2023-08-03,2024-08-03,1Y,25000.0,코스닥,유안타증권(주),,38
373170,엠아이큐브솔루션,엠아이큐브솔루션,2023-08-04,2023-08-19,15D,12000.0,코스닥,한국투자증권(주),,38
373170,엠아이큐브솔루션,엠아이큐브솔루션,2023-08-04,2023-09-04,1M,12000.0,코스닥,한국투자증권(주),,38
373170,엠아이큐브솔루션,엠아이큐브솔루션,2023-08-04,2023-11-04,3M,12000.0,코스닥,한국투자증권(주),,38
373170,엠아이큐브솔루션,엠아이큐브솔루션,2023-08-04,2024-02-04,6M,12000.0,코스닥,한국투자증권(주),,38
373170,엠아이큐브솔루션,엠아이큐브솔루션,2023-08-04,2024-08-04,1Y,12000.0,코스닥,한국투자증권(주),,38
440110,파두,파두,2023-08-07,2023-08-22,15D,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
440110,파두,파두,2023-08-07,2023-09-07,1M,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
440110,파두,파두,2023-08-07,2023-11-07,3M,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
440110,파두,파두,2023-08-07,2024-02-07,6M,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
440110,파두,파두,2023-08-07,2024-08-07,1Y,31000.0,코스닥,"한국투자증권(주),엔에이치투자증권(주)",,38
030190,NICE평가정보,nice평가정보,2023-08-08,2023-08-23,15D,0.0,유가,대신증권(주),,kind
030190,NICE평가정보,nice평가정보,2023-08-08,2023-09-08,1M,0.0,유가,대신증권(주),,kind
030190,NICE평가정보,nice평가정보,2023-08-08,2023-11-08,3M,0.0,유가,대신증권(주),,kind
030190,NICE평가정보,nice평가정보,2023-08-08,2024-02-08,6M,0.0,유가,대신증권(주),,kind
030190,NICE평가정보,nice평가정보,2023-08-08,2024-08-08,1Y,0.0,유가,대신증권(주),,kind
448710,코츠테크놀로지,코츠테크놀로지,2023-08-10,2023-08-25,15D,13000.0,코스닥,한국투자증권(주),,38
448710,코츠테크놀로지,코츠테크놀로지,2023-08-10,2023-09-10,1M,13000.0,코스닥,한국투자증권(주),,38
448710,코츠테크놀로지,코츠테크놀로지,2023-08-10,2023-11-10,3M,13000.0,코스닥,한국투자증권(주),,38
448710,코츠테크놀로지,코츠테크놀로지,2023-08-10,2024-02-10,6M,13000.0,코스닥,한국투자증권(주),,38
448710,코츠테크놀로지,코츠테크놀로지,2023-08-10,2024-08-10,1Y,13000.0,코스닥,한국투자증권(주),,38
