strategy_name,term,entry_mode,reason,count
15D_close_midhold,15D,close,daily_empty_symbol,15
15D_close_midhold,15D,close,daily_empty_window,2
15D_close_midhold,15D,close,entry_not_found,2
15D_close_midhold,15D,close,exit_out_of_range,1
1M_close_midhold,1M,close,daily_empty_symbol,15
1M_close_midhold,1M,close,daily_empty_window,2
1M_close_midhold,1M,close,entry_not_found,2
1M_close_midhold,1M,close,exit_out_of_range,2
1Y_close_midhold,1Y,close,exit_out_of_range,71
1Y_close_midhold,1Y,close,daily_empty_window,62
1Y_close_midhold,1Y,close,daily_empty_symbol,15
1Y_close_midhold,1Y,close,entry_not_found,3
3M_close_midhold,3M,close,exit_out_of_range,19
3M_close_midhold,3M,close,daily_empty_symbol,15
3M_close_midhold,3M,close,daily_empty_window,4
3M_close_midhold,3M,close,entry_not_found,3
6M_close_midhold,6M,close,daily_empty_window,26
6M_close_midhold,6M,close,exit_out_of_range,25
6M_close_midhold,6M,close,daily_empty_symbol,15
6M_close_midhold,6M,close,entry_not_found,1
