name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares
경방,경방,000050,1956-03-03,,유가,,
유수홀딩스,유수홀딩스,000700,1956-03-03,,유가,,
한진중공업홀딩스,한진중공업홀딩스,003480,1956-03-03,,유가,,
CJ대한통운,cj대한통운,000120,1956-07-02,,유가,,
유한양행,유한양행,000100,1962-11-01,,유가,,
디아이동일,디아이동일,001530,1964-01-04,,유가,,
대한항공,대한항공,003490,1966-03-18,,유가,,
전방,전방,000950,1968-10-21,,유가,,
대한전선,대한전선,001440,1968-12-27,,유가,,
대한제당,대한제당,001790,1968-12-27,,유가,,
삼양홀딩스,삼양홀딩스,000070,1968-12-27,,유가,,
세기상사,세기상사,002420,1968-12-27,,유가,,
한국앤컴퍼니,한국앤컴퍼니,000240,1968-12-27,,유가,,
세아제강지주,세아제강지주,003030,1969-05-13,,유가,,
엔피씨,엔피씨,004250,1969-09-08,,유가,,
한일홀딩스,한일홀딩스,003300,1969-11-20,,유가,,
한국주철관공업,한국주철관공업,000970,1969-12-12,,유가,,
코리안리,코리안리,003690,1969-12-22,,유가,,
동아쏘시오홀딩스,동아쏘시오홀딩스,000640,1970-02-10,,유가,,
LG,lg,003550,1970-02-13,,유가,,
대상,대상,001680,1970-04-01,,유가,,
대한제분,대한제분,001130,1970-11-25,,유가,,
롯데손해보험,롯데손해보험,000400,1971-04-16,,유가,,
벽산,벽산,007210,1972-01-04,,유가,,
한솔홀딩스,한솔홀딩스,004150,1972-05-17,,유가,,
제주은행,제주은행,006220,1972-12-28,,유가,,
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,002790,1973-04-30,,유가,,
일신방직,일신방직,003200,1973-05-23,,유가,,
롯데칠성음료,롯데칠성음료,005300,1973-06-21,,유가,,
영진약품,영진약품,003520,1973-06-25,,유가,,
케이씨씨,케이씨씨,002380,1973-06-25,,유가,,
TYM,tym,002900,1973-06-26,,유가,,
대웅,대웅,003090,1973-06-26,,유가,,
진양산업,진양산업,003780,1973-06-26,,유가,,
DB손해보험,db손해보험,005830,1973-06-28,,유가,,
CJ,cj,001040,1973-06-29,,유가,,
두산,두산,000150,1973-06-29,,유가,,
휴스틸,휴스틸,005010,1973-06-29,,유가,,
효성,효성,004800,1973-06-30,,유가,,
기아,기아,000270,1973-07-21,,유가,,
노루홀딩스,노루홀딩스,000320,1973-08-10,,유가,,
하이트진로홀딩스,하이트진로홀딩스,000140,1973-09-19,,유가,,
LS네트웍스,ls네트웍스,000680,1973-11-15,,유가,,
금호전기,금호전기,001210,1973-11-15,,유가,,
대한방직,대한방직,001070,1973-12-28,,유가,,
서울식품공업,서울식품공업,004410,1973-12-28,,유가,,
롯데지주,롯데지주,004990,1974-02-16,,유가,,
카프로,카프로,006380,1974-05-28,,유가,,
아세아,아세아,002030,1974-06-03,,유가,,
한화솔루션,한화솔루션,009830,1974-06-19,,유가,,
모나미,모나미,005360,1974-06-26,,유가,,
한국수출포장공업,한국수출포장공업,002200,1974-06-28,,유가,,
현대자동차,현대자동차,005380,1974-06-28,,유가,,
한진,한진,002320,1974-08-12,,유가,,
일양약품,일양약품,007570,1974-08-28,,유가,,
흥국화재,흥국화재,000540,1974-12-05,,유가,,
SPC삼립,spc삼립,005610,1975-05-02,,유가,,
KG모빌리티,kg모빌리티,003620,1975-05-29,,유가,,
BYC,byc,001460,1975-06-02,,유가,,
DH오토넥스,dh오토넥스,000300,1975-06-09,,유가,,
삼성전자,삼성전자,005930,1975-06-11,,유가,,
코오롱,코오롱,002020,1975-06-23,,유가,,
태원물산,태원물산,001420,1975-06-24,,유가,,
깨끗한나라,깨끗한나라,004540,1975-06-25,,유가,,
대동,대동,000490,1975-06-27,,유가,,
오리온홀딩스,오리온홀딩스,001800,1975-06-27,,유가,,
NI스틸,ni스틸,008260,1975-06-28,,유가,,
일동홀딩스,일동홀딩스,000230,1975-06-28,,유가,,
삼성화재해상보험,삼성화재해상보험,000810,1975-06-30,,유가,,
삼양식품,삼양식품,003230,1975-06-30,,유가,,
한화손해보험,한화손해보험,000370,1975-06-30,,유가,,
삼성제약,삼성제약,001360,1975-07-04,,유가,,
NH투자증권,nh투자증권,005940,1975-09-30,,유가,,
미래에셋증권,미래에셋증권,006800,1975-09-30,,유가,,
신일전자,신일전자,002700,1975-09-30,,유가,,
대신증권,대신증권,003540,1975-10-01,,유가,,
강남제비스코,강남제비스코,000860,1975-11-12,,유가,,
유유제약,유유제약,000220,1975-11-18,,유가,,
대림통상,대림통상,006570,1975-11-20,,유가,,
DB하이텍,db하이텍,000990,1975-12-12,,유가,,
CS홀딩스,cs홀딩스,000590,1975-12-22,,유가,,
부산주공,부산주공,005030,1975-12-26,,유가,,
국제약품,국제약품,002720,1975-12-27,,유가,,
태광산업,태광산업,003240,1975-12-27,,유가,,
LX인터내셔널,lx인터내셔널,001120,1976-01-30,,유가,,
DL,dl,000210,1976-02-02,,유가,,
동화약품,동화약품,000020,1976-03-24,,유가,,
롯데정밀화학,롯데정밀화학,004000,1976-04-15,,유가,,
SG세계물산,sg세계물산,004060,1976-04-19,,유가,,
넥센타이어,넥센타이어,002350,1976-05-19,,유가,,
DRB동일,drb동일,004840,1976-05-21,,유가,,
SUN&L,sunl,002820,1976-05-22,,유가,,
KR모터스,kr모터스,000040,1976-05-25,,유가,,
고려제강,고려제강,002240,1976-05-25,,유가,,
태양금속공업,태양금속공업,004100,1976-05-25,,유가,,
삼화왕관,삼화왕관,004450,1976-05-28,,유가,,
한창,한창,005110,1976-06-01,,유가,,
성창기업지주,성창기업지주,000180,1976-06-02,,유가,,
PKC,pkc,001340,1976-06-10,,유가,,
영풍,영풍,000670,1976-06-12,,유가,,
JW중외제약,jw중외제약,001060,1976-06-14,,유가,,
한화,한화,000880,1976-06-24,,유가,,
동양,동양,001520,1976-06-25,,유가,,
GS글로벌,gs글로벌,001250,1976-06-26,,유가,,
금호건설,금호건설,002990,1976-06-26,,유가,,
삼부토건,삼부토건,001470,1976-06-26,,유가,,
